,magnitude,depth
317,5.6,10.0
318,4.8,10.0
319,5.1,10.0
320,5.1,10.0
321,5.1,10.0
322,4.2,10.0
323,2.8,6.4
324,5.3,10.0
325,5.3,10.0
326,5.1,10.0
327,5.0,10.0
328,5.9,11.0
329,5.3,10.0
330,4.9,10.0
331,5.0,10.0
332,5.7,8.0
333,5.7,10.0
334,5.6,10.0
335,5.5,16.0
336,4.6,53.26
337,3.26,6.77
338,2.96,5.0
339,5.2,10.0
340,4.6,10.0
341,4.7,10.0
342,2.5,5.0
343,4.8,10.0
344,5.0,10.0
345,5.0,10.0
346,5.0,10.0
347,5.0,10.0
348,6.2,10.0
349,4.2,126.93
350,4.6,10.0
351,4.7,10.0
352,2.86,2.61
353,5.1,10.0
354,2.7,10.0
355,4.9,10.0
356,4.5,10.0
357,5.0,10.0
358,4.7,10.0
359,5.3,10.0
360,3.0,10.0
361,2.7,9.8
362,4.9,10.0
363,4.4,10.0
364,2.71,11.0
365,3.54,7.83
366,2.65,8.0
367,5.9,15.0
368,5.1,10.0
369,2.8,0.1
370,5.6,17.97
371,5.4,10.0
372,3.74,64.0
373,4.9,10.0
374,5.0,10.0
375,4.6,64.41
376,5.1,10.0
377,5.0,10.0
378,2.98,1.69
379,2.6,10.5
380,2.6,119.4
381,4.9,10.0
382,4.7,10.0
383,5.0,10.0
384,5.1,10.0
385,5.3,10.0
386,5.3,10.0
387,5.1,10.0
388,5.2,10.0
389,5.6,10.0
390,5.6,10.0
391,5.6,10.0
392,5.4,10.0
393,5.3,10.0
394,6.3,17.0
395,2.7,1.7
396,2.61,19.33
397,5.1,10.0
398,5.2,10.0
399,3.0,10.0
400,5.3,10.0
401,5.3,10.0
402,4.9,10.0
403,5.0,10.0
404,5.6,10.0
405,5.2,10.0
406,5.2,10.0
407,2.7,9.67
408,5.9,10.0
409,5.5,10.0
410,3.8,31.64
411,5.3,10.0
412,5.1,10.0
413,5.6,10.0
414,5.5,10.0
415,6.1,10.0
416,5.4,10.0
417,2.82,9.0
418,5.6,10.0
419,2.99,21.78
420,3.8,32.99
421,5.4,10.0
422,5.8,10.0
423,5.2,10.0
424,5.7,10.0
425,5.1,10.0
426,5.5,10.0
427,5.4,10.0
428,5.1,10.0
429,5.1,10.0
430,5.6,10.0
431,6.1,10.0
432,5.5,10.0
433,4.6,10.0
434,2.9,10.0
435,5.7,10.0
436,8.1,26.45
437,5.5,10.0
438,4.9,10.0
439,5.1,27.05
440,5.0,10.0
441,5.8,10.0
442,2.9,0.9
443,5.2,36.87
444,5.6,10.0
445,7.4,53.09
446,4.4,10.0
447,4.7,108.43
448,4.6,10.0
449,2.88,20.53
450,6.1,173.3
451,2.5,12.52
452,4.7,10.0
453,4.6,71.5
454,3.09,10.6
455,5.0,10.0
456,5.3,10.0
457,5.4,5.57
458,4.9,10.0
459,4.5,10.0
460,5.1,10.0
461,4.7,10.0
462,4.6,10.0
463,4.6,10.0
464,5.6,10.0
465,5.0,10.0
466,2.59,-0.76
467,4.3,35.0
468,7.3,20.78
469,2.91,20.0
470,2.63,12.0
471,4.7,149.55
472,4.3,49.9
473,2.8,144.1
474,2.6,137.1
475,4.5,41.76
476,4.6,10.0
477,3.1,11.9
478,4.7,10.0
479,4.9,508.01
480,4.8,10.0
481,4.3,321.32
482,4.7,10.0
